,experiment,users,parameter,type,value
0,3_test_mirador_,80,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,80,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,80,connected,ratemean,-0.23
0,3_test_mirador_,80,users,ratemean,2.12
0,3_test_mirador_,80,200,ratemean,32.18
0,3_test_mirador_,80,connect,ratemean,1.46
0,3_test_mirador_,80,size_rcv_rate,rate,18339594.24
0,3_test_mirador_,80,size_rcv,maxmean,200.73
0,3_test_mirador_,80,size_sent_rate,rate,428779.52
0,3_test_mirador_,80,size_sent,maxmean,4.05
0,3_test_mirador_,160,tr_change_manually_canvas_2,mean,58.8
0,3_test_mirador_,160,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,19140.54
0,3_test_mirador_,160,request,mean,16.200000000000003
0,3_test_mirador_,160,tr_zoom,mean,307.2
0,3_test_mirador_,160,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,2.44
0,3_test_mirador_,160,connect,mean,28.84
0,3_test_mirador_,160,page,mean,500.4
0,3_test_mirador_,160,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,0.33
0,3_test_mirador_,160,tr_init_load_page,mean,1459.2
0,3_test_mirador_,160,tr_change_manually_canvas,mean,145.2
0,3_test_mirador_,160,session,mean,19000.0
0,3_test_mirador_,160,tr_change_canvas,mean,529.8
0,3_test_mirador_,160,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,160,users,ratemean,6.77
0,3_test_mirador_,160,finish_users_count,ratemean,0.55
0,3_test_mirador_,160,error_connection_closed,ratemean,0.01
0,3_test_mirador_,160,200,ratemean,78.36
0,3_test_mirador_,160,tr_zoom,ratemean,0.57
0,3_test_mirador_,160,users_count,ratemean,0.28
0,3_test_mirador_,160,tr_change_manually_canvas_2,ratemean,0.62
0,3_test_mirador_,160,connected,ratemean,-0.27
0,3_test_mirador_,160,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,160,request,ratemean,78.37
0,3_test_mirador_,160,session,ratemean,0.62
0,3_test_mirador_,160,tr_change_canvas,ratemean,0.54
0,3_test_mirador_,160,tr_change_manually_canvas,ratemean,0.57
0,3_test_mirador_,160,tr_init_load_page,ratemean,0.47
0,3_test_mirador_,160,page,ratemean,2.67
0,3_test_mirador_,160,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,160,connect,ratemean,5.7
0,3_test_mirador_,160,size_rcv_rate,rate,57053020.16
0,3_test_mirador_,160,size_rcv,maxmean,401.46
0,3_test_mirador_,160,size_sent_rate,rate,692490.24
0,3_test_mirador_,160,size_sent,maxmean,8.11
0,3_test_mirador_,320,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,3.0
0,3_test_mirador_,320,page,mean,1024.8
0,3_test_mirador_,320,connect,mean,7.800000000000001
0,3_test_mirador_,320,tr_init_load_page,mean,2275.8
0,3_test_mirador_,320,tr_change_manually_canvas_2,mean,176.4
0,3_test_mirador_,320,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,19017.65
0,3_test_mirador_,320,request,mean,33.6
0,3_test_mirador_,320,session,mean,55000.0
0,3_test_mirador_,320,tr_zoom,mean,879.0
0,3_test_mirador_,320,tr_change_canvas,mean,1125.0
0,3_test_mirador_,320,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,0.62
0,3_test_mirador_,320,tr_change_manually_canvas,mean,488.40000000000003
0,3_test_mirador_,320,tr_change_canvas,ratemean,0.78
0,3_test_mirador_,320,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,320,error_connect_ehostunreach,ratemean,0.06
0,3_test_mirador_,320,finish_users_count,ratemean,0.78
0,3_test_mirador_,320,tr_change_manually_canvas,ratemean,0.76
0,3_test_mirador_,320,request,ratemean,110.48
0,3_test_mirador_,320,connected,ratemean,-0.2
0,3_test_mirador_,320,error_abort_max_conn_retries,ratemean,0.1
0,3_test_mirador_,320,session,ratemean,0.82
0,3_test_mirador_,320,tr_zoom,ratemean,0.77
0,3_test_mirador_,320,503,ratemean,0.04
0,3_test_mirador_,320,users_count,ratemean,0.58
0,3_test_mirador_,320,200,ratemean,110.41
0,3_test_mirador_,320,tr_change_manually_canvas_2,ratemean,0.76
0,3_test_mirador_,320,users,ratemean,12.57
0,3_test_mirador_,320,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,320,error_connection_closed,ratemean,0.17
0,3_test_mirador_,320,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,320,page,ratemean,3.65
0,3_test_mirador_,320,error_connect_enetunreach,ratemean,0.39
0,3_test_mirador_,320,connect,ratemean,9.44
0,3_test_mirador_,320,tr_init_load_page,ratemean,0.71
0,3_test_mirador_,320,size_rcv_rate,rate,69531074.56
0,3_test_mirador_,320,size_rcv,maxmean,778.38
0,3_test_mirador_,320,size_sent_rate,rate,757565.44
0,3_test_mirador_,320,size_sent,maxmean,15.61
